TE_Type	TE_id	chromosome	TE_strand	start	end	before_id	before_feature	before_strand	before_start	before_end	after_id	after_feature	after_strand	after_start	after_end	superset_id	superset_feature	superset_strand	superset_start	superset_end	subset_id	subset_feature	subset_strand	subset_start	subset_end	upstream_overlap	downstream_overlap	Down_TEstart-Geneend	Down_Genestart-TEend	Down_Geneend-TEend	Down_Genestart-TEstart	Up_TEstart-Geneend	Up_Genestart-TEend	Up_Geneend-TEend	Up_Genestart-TEstart
LTR_retrotransposon	Mands_v1_LTR_retrotransposon1	chr1	+	152620	158344	ID=cds.Pruma.1G003600.t1.p1	CDS	+	150278	150421	ID=Pruma.1G003800	gene	+	157290	160628	nan	nan	nan	nan	nan	['ID=cds.Pruma.1G003600.t1.p1', 'ID=Pruma.1G003600.t1.p1.exon2', 'ID=Pruma.1G003600.t1.p1.exon3', 'ID=cds.Pruma.1G003600.t1.p1', 'ID=Pruma.1G003600.t1.p1.exon4', 'ID=cds.Pruma.1G003600.t1.p1', 'ID=Pruma.1G003600.t1.p1.exon5', 'ID=cds.Pruma.1G003600.t1.p1', 'ID=Pruma.1G003600.t1.p1.exon6', 'ID=cds.Pruma.1G003600.t1.p1', 'ID=cds.Pruma.1G003600.t1.p1', 'ID=Pruma.1G003600.t1.p1.exon7', 'ID=Pruma.1G003600.t1.p1.exon8', 'ID=cds.Pruma.1G003600.t1.p1', 'ID=cds.Pruma.1G003600.t1.p1', 'ID=Pruma.1G003600.t1.p1.exon9', 'ID=Pruma.1G003700', 'ID=Pruma.1G003700.t1.p1', 'ID=cds.Pruma.1G003700.t1.p1', 'ID=Pruma.1G003700.t1.p1.exon1', 'ID=Pruma.1G003800.t1.p1.exon1', 'ID=cds.Pruma.1G003800.t1.p1']	['CDS', 'exon', 'exon', 'CDS', 'exon', 'CDS', 'exon', 'CDS', 'exon', 'CDS', 'CDS', 'exon', 'exon', 'CDS', 'CDS', 'exon', 'gene', 'mRNA', 'CDS', 'exon', 'exon', 'CDS']	['+', '+', '+', '+', '+', '+', '+', '+', '+', '+', '+', '+', '+', '+', '+', '+', '+', '+', '+', '+', '+', '+']	[152971, 152971, 153464, 153464, 153633, 153633, 154023, 154023, 154396, 154396, 155039, 155039, 155502, 155502, 155977, 155977, 156768, 156768, 156768, 156768, 157290, 157290]	[153222, 153222, 153560, 153560, 153858, 153858, 154180, 154180, 154693, 154693, 155381, 155381, 155829, 155829, 156212, 156212, 157187, 157187, 157187, 157187, 157871, 157871]	nan	1054	-8008	-1054	2284	4670	2199	-8066	-7923	-2342
LTR_retrotransposon	Mands_v1_LTR_retrotransposon3	chr1	+	1964807	1981555	ID=cds.Pruma.1G034900.t1.p1	CDS	+	1964600	1965064	ID=Pruma.1G035000	gene	+	1978668	1982371	nan	nan	nan	nan	nan	['ID=cds.Pruma.1G034900.t1.p1', 'ID=Pruma.1G034900.t1.p1.exon7', 'ID=Pruma.1G035000.t1.p1.exon1', 'ID=cds.Pruma.1G035000.t1.p1', 'ID=cds.Pruma.1G035000.t1.p1', 'ID=Pruma.1G035000.t1.p1.exon2', 'ID=cds.Pruma.1G035000.t1.p1', 'ID=Pruma.1G035000.t1.p1.exon3', 'ID=Pruma.1G035000.t1.p1.exon4', 'ID=cds.Pruma.1G035000.t1.p1', 'ID=cds.Pruma.1G035000.t1.p1', 'ID=Pruma.1G035000.t1.p1.exon5']	['CDS', 'exon', 'exon', 'CDS', 'CDS', 'exon', 'CDS', 'exon', 'exon', 'CDS', 'CDS', 'exon']	['+', '+', '+', '+', '+', '+', '+', '+', '+', '+', '+', '+']	[1965172, 1965172, 1978668, 1978668, 1979940, 1979940, 1980134, 1980134, 1980783, 1980783, 1980982, 1980982]	[1965759, 1965759, 1978898, 1978898, 1980032, 1980032, 1980579, 1980579, 1980877, 1980877, 1981112, 1981112]	257	2887	-17564	-2887	816	13861	-257	-16955	-16491	-207
LTR_retrotransposon	Mands_v1_LTR_retrotransposon4	chr1	+	2144604	2149130	ID=Pruma.1G038400.t1.p1	mRNA	+	2144530	2148223	ID=Pruma.1G038600	gene	-	2149954	2155195	nan	nan	nan	nan	nan	['ID=Pruma.1G038400.t1.p1.exon2', 'ID=cds.Pruma.1G038400.t1.p1', 'ID=Pruma.1G038400.t1.p1.exon3', 'ID=cds.Pruma.1G038400.t1.p1', 'ID=cds.Pruma.1G038400.t1.p1', 'ID=Pruma.1G038400.t1.p1.exon4', 'ID=cds.Pruma.1G038400.t1.p1', 'ID=Pruma.1G038400.t1.p1.exon5', 'ID=cds.Pruma.1G038400.t1.p1', 'ID=Pruma.1G038400.t1.p1.exon6', 'ID=Pruma.1G038500', 'ID=Pruma.1G038500.t1.p1', 'ID=cds.Pruma.1G038500.t1.p1', 'ID=Pruma.1G038500.t1.p1.exon1']	['exon', 'CDS', 'exon', 'CDS', 'CDS', 'exon', 'CDS', 'exon', 'CDS', 'exon', 'gene', 'mRNA', 'CDS', 'exon']	['+', '+', '+', '+', '+', '+', '+', '+', '+', '+', '+', '+', '+', '+']	[2144935, 2144935, 2145514, 2145514, 2146421, 2146421, 2147491, 2147491, 2147984, 2147984, 2148326, 2148326, 2148326, 2148326]	[2145416, 2145416, 2146354, 2146354, 2147391, 2147391, 2147914, 2147914, 2148223, 2148223, 2148889, 2148889, 2148889, 2148889]	3619	nan	-10591	824	6065	5350	-3619	-4600	-907	-74
LTR_retrotransposon	Mands_v1_LTR_retrotransposon5	chr1	-	2320387	2330856	ID=Pruma.1G042100.t1.p1.exon2	exon	+	2316554	2316897	ID=Pruma.1G042700	gene	+	2334067	2338209	nan	nan	nan	nan	nan	['ID=Pruma.1G042200', 'ID=Pruma.1G042200.t1.p1', 'ID=cds.Pruma.1G042200.t1.p1', 'ID=Pruma.1G042200.t1.p1.exon1', 'ID=cds.Pruma.1G042200.t1.p1', 'ID=Pruma.1G042200.t1.p1.exon2', 'ID=Pruma.1G042200.t1.p1.exon3', 'ID=cds.Pruma.1G042200.t1.p1', 'ID=Pruma.1G042300', 'ID=Pruma.1G042300.t1.p1', 'ID=Pruma.1G042300.t1.p1.exon2', 'ID=cds.Pruma.1G042300.t1.p1', 'ID=cds.Pruma.1G042300.t1.p1', 'ID=Pruma.1G042300.t1.p1.exon1', 'ID=Pruma.1G042400', 'ID=Pruma.1G042400.t1.p1', 'ID=cds.Pruma.1G042400.t1.p1', 'ID=Pruma.1G042400.t1.p1.exon2', 'ID=Pruma.1G042400.t1.p1.exon1', 'ID=cds.Pruma.1G042400.t1.p1', 'ID=Pruma.1G042500', 'ID=Pruma.1G042500.t1.p1', 'ID=cds.Pruma.1G042500.t1.p1', 'ID=Pruma.1G042500.t1.p1.exon1', 'ID=Pruma.1G042600', 'ID=Pruma.1G042600.t1.p1', 'ID=Pruma.1G042600.t1.p1.exon2', 'ID=cds.Pruma.1G042600.t1.p1', 'ID=cds.Pruma.1G042600.t1.p1', 'ID=Pruma.1G042600.t1.p1.exon1']	['gene', 'mRNA', 'CDS', 'exon', 'CDS', 'exon', 'exon', 'CDS', 'gene', 'mRNA', 'exon', 'CDS', 'CDS', 'exon', 'gene', 'mRNA', 'CDS', 'exon', 'exon', 'CDS', 'gene', 'mRNA', 'CDS', 'exon', 'gene', 'mRNA', 'exon', 'CDS', 'CDS', 'exon']	['+', '+', '+', '+', '+', '+', '+', '+', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']	[2322309, 2322309, 2322309, 2322309, 2322624, 2322624, 2322844, 2322844, 2324652, 2324652, 2324652, 2324652, 2325647, 2325647, 2325833, 2325833, 2325833, 2325833, 2326544, 2326544, 2327710, 2327710, 2327710, 2327710, 2328504, 2328504, 2328504, 2328504, 2329260, 2329260]	[2324009, 2324009, 2322507, 2322507, 2322770, 2322770, 2324009, 2324009, 2325778, 2325778, 2325557, 2325557, 2325778, 2325778, 2326815, 2326815, 2326460, 2326460, 2326815, 2326815, 2328462, 2328462, 2328462, 2328462, 2330181, 2330181, 2329186, 2329186, 2330181, 2330181]	nan	nan	-17822	3211	7353	13680	3490	-14302	-13959	-3833
LTR_retrotransposon	Mands_v1_LTR_retrotransposon6	chr1	-	2515290	2529098	ID=cds.Pruma.1G045500.t1.p1	CDS	+	2515092	2515659	ID=Pruma.1G045800	gene	+	2526687	2530382	nan	nan	nan	nan	nan	['ID=Pruma.1G045500.t1.p1.exon4', 'ID=cds.Pruma.1G045500.t1.p1', 'ID=cds.Pruma.1G045500.t1.p1', 'ID=Pruma.1G045500.t1.p1.exon5', 'ID=Pruma.1G045600', 'ID=Pruma.1G045600.t1.p1', 'ID=cds.Pruma.1G045600.t1.p1', 'ID=Pruma.1G045600.t1.p1.exon5', 'ID=cds.Pruma.1G045600.t1.p1', 'ID=Pruma.1G045600.t1.p1.exon4', 'ID=Pruma.1G045600.t1.p1.exon3', 'ID=cds.Pruma.1G045600.t1.p1', 'ID=cds.Pruma.1G045600.t1.p1', 'ID=Pruma.1G045600.t1.p1.exon2', 'ID=cds.Pruma.1G045600.t1.p1', 'ID=Pruma.1G045600.t1.p1.exon1', 'ID=Pruma.1G045700', 'ID=Pruma.1G045700.t1.p1', 'ID=cds.Pruma.1G045700.t1.p1', 'ID=Pruma.1G045700.t1.p1.exon1', 'ID=Pruma.1G045800.t1.p1.exon1', 'ID=cds.Pruma.1G045800.t1.p1', 'ID=Pruma.1G045800.t1.p1.exon2', 'ID=cds.Pruma.1G045800.t1.p1', 'ID=cds.Pruma.1G045800.t1.p1', 'ID=Pruma.1G045800.t1.p1.exon3', 'ID=Pruma.1G045800.t1.p1.exon4', 'ID=cds.Pruma.1G045800.t1.p1']	['exon', 'CDS', 'CDS', 'exon', 'gene', 'mRNA', 'CDS', 'exon', 'CDS', 'exon', 'exon', 'CDS', 'CDS', 'exon', 'CDS', 'exon', 'gene', 'mRNA', 'CDS', 'exon', 'exon', 'CDS', 'exon', 'CDS', 'CDS', 'exon', 'exon', 'CDS']	['+', '+', '+', '+', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '+', '+', '+', '+', '+', '+', '+', '+']	[2515926, 2515926, 2516338, 2516338, 2518640, 2518640, 2518640, 2518640, 2519360, 2519360, 2520265, 2520265, 2522299, 2522299, 2523400, 2523400, 2524055, 2524055, 2524055, 2524055, 2526687, 2526687, 2527327, 2527327, 2527859, 2527859, 2528502, 2528502]	[2516247, 2516247, 2516595, 2516595, 2523976, 2523976, 2518932, 2518932, 2519911, 2519911, 2520633, 2520633, 2522442, 2522442, 2523976, 2523976, 2524996, 2524996, 2524996, 2524996, 2527207, 2527207, 2527648, 2527648, 2528112, 2528112, 2528559, 2528559]	369	2411	-15092	-2411	1284	11397	-369	-14006	-13439	-198
LTR_retrotransposon	Mands_v1_LTR_retrotransposon7	chr1	-	2663328	2668613	ID=Pruma.1G048300.t1.p1.exon3	exon	+	2660882	2661348	ID=Pruma.1G048600	gene	+	2668702	2669596	nan	nan	nan	nan	nan	['ID=Pruma.1G048400', 'ID=Pruma.1G048400.t1.p1', 'ID=Pruma.1G048400.t1.p1.exon2', 'ID=cds.Pruma.1G048400.t1.p1', 'ID=Pruma.1G048400.t1.p1.exon1', 'ID=cds.Pruma.1G048400.t1.p1', 'ID=Pruma.1G048500', 'ID=Pruma.1G048500.t1.p1', 'ID=Pruma.1G048500.t1.p1.exon2', 'ID=cds.Pruma.1G048500.t1.p1', 'ID=cds.Pruma.1G048500.t1.p1', 'ID=Pruma.1G048500.t1.p1.exon1']	['gene', 'mRNA', 'exon', 'CDS', 'exon', 'CDS', 'gene', 'mRNA', 'exon', 'CDS', 'CDS', 'exon']	['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']	[2663803, 2663803, 2663803, 2663803, 2664712, 2664712, 2667117, 2667117, 2667117, 2667117, 2667707, 2667707]	[2665329, 2665329, 2664372, 2664372, 2665329, 2665329, 2667955, 2667955, 2667620, 2667620, 2667955, 2667955]	nan	nan	-6268	89	983	5374	1980	-7731	-7265	-2446
LTR_retrotransposon	Mands_v1_LTR_retrotransposon8	chr1	-	2676014	2680778	ID=Pruma.1G048800.t1.p1.exon1	exon	+	2673600	2674490	ID=Pruma.1G049200	gene	+	2694358	2697666	nan	nan	nan	nan	nan	['ID=Pruma.1G048900', 'ID=Pruma.1G048900.t1.p1', 'ID=Pruma.1G048900.t1.p1.exon1', 'ID=cds.Pruma.1G048900.t1.p1', 'ID=Pruma.1G049000', 'ID=Pruma.1G049000.t1.p1', 'ID=Pruma.1G049000.t1.p1.exon2', 'ID=cds.Pruma.1G049000.t1.p1', 'ID=Pruma.1G049000.t1.p1.exon1', 'ID=cds.Pruma.1G049000.t1.p1', 'ID=Pruma.1G049100', 'ID=Pruma.1G049100.t1.p1', 'ID=Pruma.1G049100.t1.p1.exon1', 'ID=cds.Pruma.1G049100.t1.p1']	['gene', 'mRNA', 'exon', 'CDS', 'gene', 'mRNA', 'exon', 'CDS', 'exon', 'CDS', 'gene', 'mRNA', 'exon', 'CDS']	['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']	[2677243, 2677243, 2677243, 2677243, 2677921, 2677921, 2677921, 2677921, 2678692, 2678692, 2679399, 2679399, 2679399, 2679399]	[2677860, 2677860, 2677860, 2677860, 2679296, 2679296, 2678482, 2678482, 2679296, 2679296, 2680355, 2680355, 2680355, 2680355]	nan	nan	-21652	13580	16888	18344	1524	-7178	-6288	-2414
LTR_retrotransposon	Mands_v1_LTR_retrotransposon10	chr1	+	3381017	3385583	ID=Pruma.1G060700.t1.p1.exon1	exon	+	3376190	3377809	ID=Pruma.1G060900	gene	+	3393548	3395568	nan	nan	nan	nan	nan	['ID=Pruma.1G060800', 'ID=Pruma.1G060800.t1.p1', 'ID=cds.Pruma.1G060800.t1.p1', 'ID=Pruma.1G060800.t1.p1.exon1', 'ID=cds.Pruma.1G060800.t1.p1', 'ID=Pruma.1G060800.t1.p1.exon2', 'ID=cds.Pruma.1G060800.t1.p1', 'ID=Pruma.1G060800.t1.p1.exon3']	['gene', 'mRNA', 'CDS', 'exon', 'CDS', 'exon', 'CDS', 'exon']	['+', '+', '+', '+', '+', '+', '+', '+']	[3383594, 3383594, 3383594, 3383594, 3384188, 3384188, 3384397, 3384397]	[3385224, 3385224, 3384086, 3384086, 3384312, 3384312, 3385224, 3385224]	nan	nan	-14551	7965	9985	12531	3208	-9393	-7774	-4827
LTR_retrotransposon	Mands_v1_LTR_retrotransposon11	chr1	+	3700952	3708353	ID=Pruma.1G066800.t1.p1.exon1	exon	+	3700923	3702251	ID=Pruma.1G067200	gene	+	3714350	3724327	nan	nan	nan	nan	nan	['ID=Pruma.1G066900', 'ID=Pruma.1G066900.t1.p1', 'ID=Pruma.1G066900.t1.p1.exon1', 'ID=cds.Pruma.1G066900.t1.p1', 'ID=Pruma.1G066900.t1.p1.exon2', 'ID=cds.Pruma.1G066900.t1.p1', 'ID=Pruma.1G067000', 'ID=Pruma.1G067000.t1.p1', 'ID=cds.Pruma.1G067000.t1.p1', 'ID=Pruma.1G067000.t1.p1.exon2', 'ID=Pruma.1G067000.t1.p1.exon1', 'ID=cds.Pruma.1G067000.t1.p1', 'ID=Pruma.1G067100', 'ID=Pruma.1G067100.t1.p1', 'ID=cds.Pruma.1G067100.t1.p1', 'ID=Pruma.1G067100.t1.p1.exon1', 'ID=cds.Pruma.1G067100.t1.p1', 'ID=Pruma.1G067100.t1.p1.exon2']	['gene', 'mRNA', 'exon', 'CDS', 'exon', 'CDS', 'gene', 'mRNA', 'CDS', 'exon', 'exon', 'CDS', 'gene', 'mRNA', 'CDS', 'exon', 'CDS', 'exon']	['+', '+', '+', '+', '+', '+', '-', '-', '-', '-', '-', '-', '+', '+', '+', '+', '+', '+']	[3703888, 3703888, 3703888, 3703888, 3705697, 3705697, 3705977, 3705977, 3705977, 3705977, 3706401, 3706401, 3706962, 3706962, 3706962, 3706962, 3707320, 3707320]	[3705915, 3705915, 3704079, 3704079, 3705915, 3705915, 3706635, 3706635, 3706104, 3706104, 3706635, 3706635, 3707712, 3707712, 3707237, 3707237, 3707712, 3707712]	1299	nan	-23375	5997	15974	13398	-1299	-7430	-6102	-29
LTR_retrotransposon	Mands_v1_LTR_retrotransposon12	chr1	+	4358706	4363785	ID=Pruma.1G073600.t1.p1.exon1	exon	+	4358672	4359103	ID=Pruma.1G073700	gene	+	4363547	4363987	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	397	238	-5281	-238	202	4841	-397	-5113	-4682	-34
