TE_Type	TE_id	chromosome	TE_strand	start	end	before_id	before_feature	before_strand	before_start	before_end	after_id	after_feature	after_strand	after_start	after_end	superset_id	superset_feature	superset_strand	superset_start	superset_end	subset_id	subset_feature	subset_strand	subset_start	subset_end	upstream_overlap	downstream_overlap	Down_TEstart-Geneend	Down_Genestart-TEend	Down_Geneend-TEend	Down_Genestart-TEstart	Up_TEstart-Geneend	Up_Genestart-TEend	Up_Geneend-TEend	Up_Genestart-TEstart
LTR_retrotransposon	Mands_v1_LTR_retrotransposon1	chr1	+	152620	158344	ID=cds.Pruma.1G003600.t1.p1	CDS	+	150278	150421	ID=Pruma.1G003800	gene	+	157290	160628	nan	nan	nan	nan	nan	['ID=cds.Pruma.1G003600.t1.p1', 'ID=Pruma.1G003600.t1.p1.exon2', 'ID=Pruma.1G003600.t1.p1.exon3', 'ID=cds.Pruma.1G003600.t1.p1', 'ID=Pruma.1G003600.t1.p1.exon4', 'ID=cds.Pruma.1G003600.t1.p1', 'ID=Pruma.1G003600.t1.p1.exon5', 'ID=cds.Pruma.1G003600.t1.p1', 'ID=Pruma.1G003600.t1.p1.exon6', 'ID=cds.Pruma.1G003600.t1.p1', 'ID=cds.Pruma.1G003600.t1.p1', 'ID=Pruma.1G003600.t1.p1.exon7', 'ID=Pruma.1G003600.t1.p1.exon8', 'ID=cds.Pruma.1G003600.t1.p1', 'ID=cds.Pruma.1G003600.t1.p1', 'ID=Pruma.1G003600.t1.p1.exon9', 'ID=Pruma.1G003700', 'ID=Pruma.1G003700.t1.p1', 'ID=cds.Pruma.1G003700.t1.p1', 'ID=Pruma.1G003700.t1.p1.exon1', 'ID=Pruma.1G003800.t1.p1.exon1', 'ID=cds.Pruma.1G003800.t1.p1']	['CDS', 'exon', 'exon', 'CDS', 'exon', 'CDS', 'exon', 'CDS', 'exon', 'CDS', 'CDS', 'exon', 'exon', 'CDS', 'CDS', 'exon', 'gene', 'mRNA', 'CDS', 'exon', 'exon', 'CDS']	['+', '+', '+', '+', '+', '+', '+', '+', '+', '+', '+', '+', '+', '+', '+', '+', '+', '+', '+', '+', '+', '+']	[152971, 152971, 153464, 153464, 153633, 153633, 154023, 154023, 154396, 154396, 155039, 155039, 155502, 155502, 155977, 155977, 156768, 156768, 156768, 156768, 157290, 157290]	[153222, 153222, 153560, 153560, 153858, 153858, 154180, 154180, 154693, 154693, 155381, 155381, 155829, 155829, 156212, 156212, 157187, 157187, 157187, 157187, 157871, 157871]	nan	1054	-8008	-1054	2284	4670	2199	-8066	-7923	-2342
LTR_retrotransposon	Mands_v1_LTR_retrotransposon3	chr1	+	1964807	1981555	ID=cds.Pruma.1G004100.t1.p1	CDS	+	175349	175398	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1789409	-1806206	-1806157	-1789458	1789409	-1806206	-1806157	-1789458
LTR_retrotransposon	Mands_v1_LTR_retrotransposon4	chr1	+	2144604	2149130	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1969206	-1973781	-1973732	-1969255	1969206	-1973781	-1973732	-1969255
LTR_retrotransposon	Mands_v1_LTR_retrotransposon5	chr1	-	2320387	2330856	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2144989	-2155507	-2155458	-2145038	2144989	-2155507	-2155458	-2145038
LTR_retrotransposon	Mands_v1_LTR_retrotransposon6	chr1	-	2515290	2529098	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2339892	-2353749	-2353700	-2339941	2339892	-2353749	-2353700	-2339941
LTR_retrotransposon	Mands_v1_LTR_retrotransposon7	chr1	-	2663328	2668613	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2487930	-2493264	-2493215	-2487979	2487930	-2493264	-2493215	-2487979
LTR_retrotransposon	Mands_v1_LTR_retrotransposon8	chr1	-	2676014	2680778	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2500616	-2505429	-2505380	-2500665	2500616	-2505429	-2505380	-2500665
LTR_retrotransposon	Mands_v1_LTR_retrotransposon10	chr1	+	3381017	3385583	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3205619	-3210234	-3210185	-3205668	3205619	-3210234	-3210185	-3205668
LTR_retrotransposon	Mands_v1_LTR_retrotransposon11	chr1	+	3700952	3708353	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3525554	-3533004	-3532955	-3525603	3525554	-3533004	-3532955	-3525603
LTR_retrotransposon	Mands_v1_LTR_retrotransposon12	chr1	+	4358706	4363785	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4183308	-4188436	-4188387	-4183357	4183308	-4188436	-4188387	-4183357
